order px wavelength class PCC r_m r_c med_intensity
13 0381 5034.57 w 0.625 0.05563 0.00635 -0.0103
13 0382 5034.59 w 0.153 0.01009 -0.00729 -0.0103
13 0383 5034.61 w 0.372 0.03457 -0.00009 -0.0104
13 0384 5034.63 w 0.424 0.03438 -0.00089 -0.0112
13 0385 5034.65 w 0.320 0.02733 -0.00457 -0.0127
13 0386 5034.66 w 0.537 0.04063 -0.01149 -0.0236
13 0387 5034.68 w 0.456 0.04646 -0.00559 -0.0195
13 0388 5034.70 w 0.114 0.00814 -0.00759 -0.0100
13 0416 5035.23 w 0.070 0.00551 -0.00483 -0.0065
13 0417 5035.25 w 0.591 0.04242 -0.00151 -0.0142
13 0418 5035.26 w 0.634 0.05170 -0.00022 -0.0157
13 0419 5035.28 w 0.467 0.03614 -0.00140 -0.0122
13 0420 5035.30 w 0.283 0.02121 -0.00101 -0.0073
13 0421 5035.32 w 0.151 0.00965 -0.00195 -0.0048
13 0423 5035.36 w 0.055 0.00320 -0.00687 -0.0078
13 0424 5035.38 w 0.436 0.03440 -0.00185 -0.0121
13 0425 5035.40 w 0.548 0.04929 -0.00251 -0.0172
13 0426 5035.41 w 0.463 0.03082 -0.00788 -0.0171
13 0427 5035.43 w 0.350 0.02818 -0.00045 -0.0089
13 0428 5035.45 w -0.017 -0.00126 -0.00564 -0.0053
13 0439 5035.66 w 0.088 0.00846 -0.00498 -0.0075
13 0440 5035.68 w 0.427 0.03588 -0.00288 -0.0136
13 0441 5035.70 w 0.555 0.04605 -0.00608 -0.0198
13 0442 5035.71 w 0.631 0.05627 -0.00560 -0.0224
13 0443 5035.73 w 0.421 0.03242 -0.00833 -0.0180
13 0444 5035.75 w 0.359 0.02585 -0.00713 -0.0149
13 0445 5035.77 w 0.188 0.01255 -0.00597 -0.0097
13 0470 5036.24 w 0.192 0.01089 -0.00125 -0.0045
13 0471 5036.26 w 0.507 0.03850 0.00354 -0.0080
13 0472 5036.28 w 0.606 0.04915 0.00262 -0.0121
13 0473 5036.30 w 0.467 0.03861 -0.00547 -0.0170
13 0474 5036.31 w 0.500 0.03977 -0.00080 -0.0127
13 0475 5036.33 w 0.548 0.04174 0.00675 -0.0057
13 0476 5036.35 w 0.353 0.02485 0.00397 -0.0035
13 0477 5036.37 w 0.121 0.00909 -0.00090 -0.0036
13 0525 5037.27 w 0.117 0.00777 -0.00989 -0.0122
13 0526 5037.29 w 0.671 0.07349 -0.00323 -0.0252
13 0527 5037.31 w 0.873 0.12760 -0.00543 -0.0436
13 0528 5037.33 w 0.812 0.09125 -0.01448 -0.0418
13 0529 5037.34 w 0.547 0.04812 -0.00912 -0.0235
13 0530 5037.36 w 0.113 0.00783 -0.00835 -0.0107
