order px wavelength class PCC r_m r_c med_intensity
29 1250 5892.36 w 0.947 0.23206 -0.00016 -0.0695
29 1251 5892.38 w 0.958 0.37493 -0.00073 -0.1128
29 1252 5892.40 w 0.971 0.35322 -0.00663 -0.1122
29 1253 5892.42 w 0.907 0.21533 -0.00462 -0.0690
29 1254 5892.45 w 0.810 0.10786 -0.00250 -0.0347
29 1255 5892.47 w 0.538 0.04410 -0.00333 -0.0165
29 1256 5892.49 w 0.345 0.02778 -0.00061 -0.0089
29 1257 5892.51 w 0.181 0.01328 -0.00188 -0.0059
29 1273 5892.85 w 0.182 0.01230 0.00148 -0.0022
29 1274 5892.87 w 0.306 0.01996 0.00342 -0.0026
29 1275 5892.90 w 0.420 0.03111 0.00746 -0.0018
29 1276 5892.92 w 0.394 0.03358 0.00722 -0.0028
29 1277 5892.94 w 0.383 0.03076 0.00479 -0.0044
29 1278 5892.96 w 0.544 0.04475 0.00581 -0.0076
29 1279 5892.98 w 0.696 0.06685 0.00466 -0.0153
29 1280 5893.00 w 0.833 0.11692 0.00469 -0.0303
29 1281 5893.02 w 0.905 0.18317 -0.00077 -0.0555
29 1282 5893.05 w 0.931 0.20419 -0.00235 -0.0634
29 1283 5893.07 w 0.879 0.13968 -0.00237 -0.0441
29 1284 5893.09 w 0.726 0.08124 0.00215 -0.0221
29 1285 5893.11 w 0.448 0.03251 -0.00112 -0.0108
29 1286 5893.13 w 0.352 0.02232 0.00094 -0.0057
29 1287 5893.15 w 0.314 0.02567 0.00450 -0.0032
29 1288 5893.17 w 0.109 0.00785 0.00176 -0.0006
29 1300 5893.43 w 0.045 0.00331 -0.00632 -0.0073
29 1301 5893.45 w 0.502 0.03991 -0.00348 -0.0154
29 1302 5893.47 w 0.793 0.10293 -0.00308 -0.0339
29 1303 5893.49 w 0.909 0.17618 -0.00340 -0.0561
29 1304 5893.52 w 0.898 0.17464 -0.00556 -0.0578
29 1305 5893.54 w 0.833 0.11636 -0.00458 -0.0394
29 1306 5893.56 w 0.740 0.07742 0.00206 -0.0211
29 1307 5893.58 w 0.407 0.04095 -0.00031 -0.0126
29 1308 5893.60 w 0.210 0.01587 -0.00240 -0.0071
29 1341 5894.31 w 0.080 0.00618 -0.00386 -0.0057
29 1342 5894.33 w 0.254 0.01987 -0.00473 -0.0107
29 1343 5894.35 w 0.490 0.03958 -0.00769 -0.0195
29 1344 5894.37 w 0.751 0.08412 -0.01105 -0.0362
29 1345 5894.39 w 0.779 0.10158 -0.00989 -0.0403
29 1346 5894.41 w 0.607 0.05576 -0.00961 -0.0263
29 1347 5894.43 w 0.095 0.00700 -0.01071 -0.0128
29 1363 5894.78 w 0.120 0.00967 -0.00024 -0.0031
29 1364 5894.80 w 0.297 0.02580 0.00511 -0.0026
29 1365 5894.82 w 0.288 0.02563 0.00256 -0.0051
29 1366 5894.84 w 0.404 0.03388 0.00413 -0.0060
29 1367 5894.86 w 0.349 0.03521 0.00251 -0.0080
29 1368 5894.88 w 0.612 0.06130 0.00669 -0.0116
29 1369 5894.90 w 0.695 0.09025 0.00723 -0.0197
29 1370 5894.93 w 0.801 0.13053 0.00521 -0.0338
29 1371 5894.95 w 0.879 0.16690 0.00522 -0.0447
29 1372 5894.97 w 0.897 0.13693 0.00505 -0.0359
29 1373 5894.99 w 0.752 0.08852 -0.00031 -0.0268
29 1374 5895.01 w 0.733 0.08100 0.00233 -0.0219
29 1375 5895.03 w 0.619 0.05774 0.00152 -0.0157
29 1376 5895.05 w 0.450 0.03371 -0.00258 -0.0127
29 1377 5895.08 w 0.581 0.04268 -0.00183 -0.0146
29 1378 5895.10 w 0.578 0.05011 -0.00549 -0.0205
29 1379 5895.12 w 0.769 0.08970 -0.00306 -0.0299
29 1380 5895.14 w 0.846 0.10057 -0.00441 -0.0345
29 1381 5895.16 w 0.695 0.06818 -0.00351 -0.0239
29 1382 5895.18 w 0.421 0.03440 -0.00446 -0.0147
29 1383 5895.20 w 0.050 0.00311 -0.00611 -0.0070
29 1437 5896.35 w 0.206 0.01858 -0.01135 -0.0169
29 1438 5896.38 w 0.325 0.03556 -0.01293 -0.0236
29 1439 5896.40 w 0.504 0.06526 -0.01750 -0.0370
29 1440 5896.42 w 0.732 0.12538 -0.01213 -0.0496
29 1441 5896.44 w 0.643 0.15998 -0.00514 -0.0530
29 1442 5896.46 w 0.458 0.24079 0.00884 -0.0632
29 1443 5896.48 w 0.466 0.29279 0.01010 -0.0774
29 1444 5896.50 w 0.553 0.24455 0.00381 -0.0693
29 1445 5896.52 w 0.493 0.14639 -0.00017 -0.0439
29 1446 5896.55 w 0.350 0.09902 0.00266 -0.0270
29 1447 5896.57 w 0.253 0.07621 0.00410 -0.0187
29 1448 5896.59 w 0.206 0.10347 0.00922 -0.0217
29 1456 5896.76 w 0.220 0.21005 0.02906 -0.0337
29 1457 5896.78 w 0.349 0.17751 0.01901 -0.0341
29 1458 5896.80 w 0.733 0.20873 0.00862 -0.0538
29 1459 5896.82 w 0.774 0.30676 0.00610 -0.0856
29 1460 5896.84 w 0.504 0.36973 0.01733 -0.0932
29 1461 5896.87 w 0.271 0.39110 0.03687 -0.0801
29 1462 5896.89 w 0.213 0.55329 0.08158 -0.0838
29 1485 5897.38 w 0.152 0.00980 0.00407 0.0011
29 1486 5897.40 w 0.245 0.01562 0.00048 -0.0042
29 1487 5897.42 w 0.706 0.06312 0.00306 -0.0158
29 1488 5897.44 w 0.803 0.09890 -0.00213 -0.0317
29 1489 5897.46 w 0.886 0.14107 -0.00026 -0.0424
29 1490 5897.48 w 0.762 0.09911 -0.00576 -0.0354
29 1491 5897.50 w 0.453 0.04204 -0.00659 -0.0192
29 1492 5897.52 w 0.114 0.00893 -0.00758 -0.0103
29 1509 5897.89 w -0.055 -0.00313 0.00044 0.0014
29 1510 5897.91 w 0.378 0.02377 -0.00125 -0.0084
29 1511 5897.93 w 0.645 0.05469 -0.00048 -0.0168
29 1512 5897.95 w 0.419 0.03287 -0.00315 -0.0130
29 1513 5897.97 w 0.215 0.01545 -0.00149 -0.0061
29 1516 5898.03 w 0.036 0.00302 -0.00230 -0.0032
29 1517 5898.06 w 0.302 0.02180 -0.00006 -0.0066
29 1518 5898.08 w 0.663 0.06391 0.00229 -0.0168
29 1519 5898.10 w 0.863 0.11715 -0.00078 -0.0358
29 1520 5898.12 w 0.959 0.25932 -0.00276 -0.0803
29 1521 5898.14 w 0.983 0.47360 0.00086 -0.1407
29 1522 5898.16 w 0.984 0.52265 -0.00752 -0.1638
29 1523 5898.18 w 0.963 0.34416 -0.00812 -0.1110
29 1524 5898.20 w 0.853 0.17227 -0.00576 -0.0573
29 1525 5898.23 w 0.688 0.08713 -0.00374 -0.0298
29 1526 5898.25 w 0.266 0.02466 -0.00838 -0.0158
29 1527 5898.27 w 0.045 0.00359 -0.00836 -0.0094
29 1549 5898.74 w 0.055 0.00440 -0.00329 -0.0046
29 1550 5898.76 w 0.287 0.02161 -0.00166 -0.0081
29 1551 5898.78 w 0.446 0.03441 0.00019 -0.0101
29 1552 5898.80 w 0.299 0.02746 0.00142 -0.0068
29 1553 5898.82 w 0.310 0.02251 0.00261 -0.0041
29 1554 5898.84 w 0.137 0.01256 0.00108 -0.0027
29 1555 5898.86 w 0.399 0.03239 0.00502 -0.0047
29 1556 5898.88 w 0.394 0.03901 0.00289 -0.0088
29 1557 5898.91 w 0.572 0.05392 0.00545 -0.0107
29 1558 5898.93 w 0.676 0.08312 0.00657 -0.0183
29 1559 5898.95 w 0.807 0.12433 0.00850 -0.0287
29 1560 5898.97 w 0.922 0.20364 0.00719 -0.0537
29 1561 5898.99 w 0.952 0.25615 -0.00272 -0.0793
29 1562 5899.01 w 0.943 0.24357 -0.00137 -0.0742
29 1563 5899.03 w 0.896 0.14700 -0.00319 -0.0471
29 1564 5899.05 w 0.655 0.06669 -0.00206 -0.0220
29 1565 5899.08 w 0.325 0.02377 -0.00287 -0.0100
29 1566 5899.10 w 0.059 0.00415 -0.00244 -0.0037
29 1597 5899.75 w 0.065 0.00383 -0.00136 -0.0025
29 1598 5899.77 w 0.283 0.01987 0.00037 -0.0056
29 1599 5899.80 w 0.329 0.02203 -0.00127 -0.0079
29 1600 5899.82 w 0.397 0.02819 -0.00269 -0.0111
29 1601 5899.84 w 0.591 0.05469 -0.00057 -0.0169
29 1602 5899.86 w 0.717 0.09073 -0.00170 -0.0288
29 1603 5899.88 w 0.911 0.17613 -0.00216 -0.0548
29 1604 5899.90 w 0.956 0.29167 -0.00359 -0.0908
29 1605 5899.92 w 0.954 0.33902 -0.00268 -0.1040
29 1606 5899.94 w 0.944 0.26189 -0.00011 -0.0784
29 1607 5899.97 w 0.925 0.21311 0.00133 -0.0624
29 1608 5899.99 w 0.945 0.26554 0.00561 -0.0738
29 1609 5900.01 w 0.967 0.38415 -0.00259 -0.1174
29 1610 5900.03 w 0.981 0.55034 -0.00525 -0.1698
29 1611 5900.05 w 0.971 0.49882 -0.01068 -0.1598
29 1612 5900.07 w 0.964 0.32045 -0.00669 -0.1025
29 1613 5900.09 w 0.897 0.18183 -0.00200 -0.0564
29 1614 5900.11 w 0.788 0.09722 -0.00011 -0.0292
29 1615 5900.14 w 0.314 0.02291 -0.00785 -0.0147
29 1616 5900.16 w 0.066 0.00502 -0.00636 -0.0079
29 1649 5900.85 w 0.165 0.01045 0.00317 0.0000
29 1650 5900.88 w 0.375 0.01999 0.00058 -0.0054
29 1651 5900.90 w 0.641 0.05007 -0.00189 -0.0169
29 1652 5900.92 w 0.844 0.08465 0.00285 -0.0225
29 1653 5900.94 w 0.507 0.04644 -0.00279 -0.0167
29 1654 5900.96 w 0.191 0.01100 -0.00242 -0.0057
29 1664 5901.17 w 0.016 0.00110 -0.00089 -0.0012
29 1665 5901.19 w 0.242 0.01674 -0.00174 -0.0067
29 1666 5901.21 w 0.787 0.07339 0.00519 -0.0168
29 1667 5901.24 w 0.844 0.11713 0.00313 -0.0319
29 1668 5901.26 w 0.839 0.10628 -0.00021 -0.0320
29 1669 5901.28 w 0.665 0.06276 -0.00247 -0.0212
29 1670 5901.30 w 0.431 0.03930 -0.00132 -0.0131
29 1671 5901.32 w 0.451 0.03561 -0.00009 -0.0107
29 1672 5901.34 w 0.415 0.03070 -0.00300 -0.0122
29 1673 5901.36 w 0.568 0.04950 -0.00425 -0.0190
29 1674 5901.38 w 0.824 0.10486 -0.00203 -0.0334
29 1675 5901.40 w 0.925 0.19457 -0.00447 -0.0626
29 1676 5901.43 w 0.968 0.37726 -0.00858 -0.1214
29 1677 5901.45 w 0.984 0.63314 -0.01333 -0.2026
29 1678 5901.47 w 0.992 0.69590 -0.01447 -0.2225
29 1679 5901.49 w 0.965 0.44267 -0.01612 -0.1485
29 1680 5901.51 w 0.931 0.23745 -0.00865 -0.0796
29 1681 5901.53 w 0.816 0.11343 -0.00872 -0.0426
29 1682 5901.55 w 0.664 0.06472 -0.00348 -0.0228
29 1683 5901.57 w 0.503 0.03450 -0.00195 -0.0123
29 1684 5901.59 w 0.201 0.01186 -0.00241 -0.0060
29 1702 5901.98 w 0.065 0.00460 -0.00398 -0.0054
29 1703 5902.00 w 0.283 0.02086 -0.00584 -0.0121
29 1704 5902.02 w 0.456 0.03948 -0.00746 -0.0193
29 1705 5902.04 w 0.487 0.04132 -0.00745 -0.0198
29 1706 5902.06 w 0.451 0.04600 -0.00411 -0.0179
29 1707 5902.08 w 0.474 0.04396 -0.00696 -0.0201
29 1708 5902.10 w 0.752 0.08934 -0.00621 -0.0329
29 1709 5902.12 w 0.891 0.15685 -0.00528 -0.0522
29 1710 5902.14 w 0.903 0.16409 -0.00416 -0.0532
29 1711 5902.17 w 0.793 0.10156 -0.00580 -0.0362
29 1712 5902.19 w 0.463 0.04068 -0.00686 -0.0190
29 1713 5902.21 w 0.248 0.01886 -0.00711 -0.0127
29 1714 5902.23 w 0.119 0.00863 -0.00799 -0.0106
29 1773 5903.47 w 0.088 0.00539 -0.00807 -0.0097
29 1774 5903.49 w 0.585 0.05115 -0.00798 -0.0233
29 1775 5903.52 w 0.858 0.12165 -0.00390 -0.0403
29 1776 5903.54 w 0.909 0.14473 -0.00785 -0.0511
29 1777 5903.56 w 0.854 0.10097 -0.00714 -0.0373
29 1778 5903.58 w 0.563 0.04382 -0.00547 -0.0186
29 1779 5903.60 w 0.257 0.01708 -0.00513 -0.0102
29 1780 5903.62 w -0.021 -0.00161 -0.00720 -0.0067
29 1789 5903.81 w 0.142 0.01254 -0.00649 -0.0102
29 1790 5903.83 w 0.449 0.04150 -0.00552 -0.0179
29 1791 5903.85 w 0.501 0.04407 -0.00540 -0.0186
29 1792 5903.87 w 0.320 0.02527 -0.00549 -0.0130
29 1793 5903.89 w 0.064 0.00449 -0.00649 -0.0078
29 1847 5905.03 w 0.111 0.00785 -0.00219 -0.0045
29 1848 5905.05 w 0.249 0.01709 -0.00124 -0.0063
29 1849 5905.07 w 0.355 0.03096 -0.00374 -0.0130
29 1850 5905.09 w 0.555 0.05328 -0.00389 -0.0198
29 1851 5905.11 w 0.746 0.07349 -0.00438 -0.0264
29 1852 5905.14 w 0.546 0.05490 -0.00759 -0.0240
29 1853 5905.16 w 0.417 0.03975 -0.00518 -0.0171
29 1854 5905.18 w 0.119 0.00972 -0.00762 -0.0105
29 1856 5905.22 w 0.142 0.01270 -0.00789 -0.0117
29 1857 5905.24 w 0.455 0.04087 -0.00477 -0.0170
29 1858 5905.26 w 0.685 0.08815 -0.00330 -0.0297
29 1859 5905.28 w 0.758 0.11141 -0.01008 -0.0434
29 1860 5905.30 w 0.780 0.10509 -0.01020 -0.0416
29 1861 5905.32 w 0.699 0.08010 -0.00528 -0.0292
29 1862 5905.35 w 0.639 0.06980 -0.00794 -0.0288
29 1863 5905.37 w 0.602 0.05858 -0.01119 -0.0287
29 1864 5905.39 w 0.578 0.05211 -0.00921 -0.0248
29 1865 5905.41 w 0.174 0.01388 -0.01175 -0.0159
29 1938 5906.94 w 0.193 0.01266 -0.00183 -0.0056
29 1939 5906.96 w 0.412 0.03436 0.00012 -0.0102
29 1940 5906.98 w 0.516 0.04502 -0.00128 -0.0147
29 1941 5907.00 w 0.606 0.04647 -0.00237 -0.0163
29 1942 5907.02 w 0.464 0.03819 0.00036 -0.0111
29 1943 5907.05 w 0.137 0.00928 -0.00373 -0.0065
29 1948 5907.15 w 0.137 0.00947 0.00054 -0.0023
29 1949 5907.17 w 0.282 0.02201 0.00401 -0.0026
29 1950 5907.19 w 0.443 0.03500 0.00453 -0.0059
29 1951 5907.21 w 0.591 0.06044 0.00767 -0.0104
29 1952 5907.23 w 0.684 0.09326 0.00297 -0.0249
29 1953 5907.25 w 0.872 0.15149 0.00404 -0.0413
29 1954 5907.28 w 0.863 0.14230 0.00031 -0.0422
29 1955 5907.30 w 0.740 0.08440 -0.00065 -0.0259
29 1956 5907.32 w 0.600 0.06099 -0.00013 -0.0184
29 1957 5907.34 w 0.547 0.05631 -0.00448 -0.0213
29 1958 5907.36 w 0.613 0.07014 -0.00395 -0.0249
29 1959 5907.38 w 0.566 0.05000 -0.00386 -0.0188
29 1960 5907.40 w 0.382 0.02752 -0.00378 -0.0120
29 1961 5907.42 w 0.248 0.02089 -0.00383 -0.0101
29 1962 5907.44 w 0.477 0.04220 -0.00035 -0.0130
29 1963 5907.46 w 0.708 0.07232 0.00021 -0.0214
29 1964 5907.48 w 0.627 0.05848 -0.00199 -0.0195
29 1965 5907.51 w 0.288 0.02888 -0.00096 -0.0096
29 1966 5907.53 w 0.280 0.01933 0.00228 -0.0035
29 1967 5907.55 w -0.099 -0.00636 -0.00246 -0.0006
29 1977 5907.76 w 0.033 0.00224 -0.00660 -0.0073
29 1978 5907.78 w 0.528 0.05402 0.00387 -0.0123
29 1979 5907.80 w 0.748 0.07272 -0.00481 -0.0266
29 1980 5907.82 w 0.862 0.13786 -0.00660 -0.0478
29 1981 5907.84 w 0.891 0.17001 -0.00949 -0.0603
29 1982 5907.86 w 0.755 0.10982 -0.01047 -0.0433
29 1983 5907.88 w 0.484 0.05310 -0.00597 -0.0218
29 1984 5907.90 w 0.248 0.02297 -0.00539 -0.0123
29 1985 5907.92 w -0.177 -0.01776 -0.01296 -0.0076
29 1994 5908.11 w -0.029 -0.00243 -0.00706 -0.0063
29 1995 5908.13 w 0.242 0.01655 -0.00461 -0.0096
29 1996 5908.15 w 0.567 0.04527 -0.00303 -0.0166
29 1997 5908.18 w 0.818 0.09473 -0.00389 -0.0322
29 1998 5908.20 w 0.879 0.13759 -0.00528 -0.0464
29 1999 5908.22 w 0.900 0.12618 -0.00882 -0.0465
29 2000 5908.24 w 0.720 0.08615 -0.00524 -0.0310
29 2001 5908.26 w 0.550 0.04988 -0.00602 -0.0209
29 2002 5908.28 w 0.496 0.03949 -0.00035 -0.0122
29 2003 5908.30 w 0.267 0.01999 -0.00101 -0.0070
29 2004 5908.32 w 0.218 0.01634 0.00238 -0.0025
29 2031 5908.89 w 0.198 0.01460 -0.00018 -0.0045
29 2032 5908.91 w 0.554 0.04062 0.00310 -0.0090
29 2033 5908.93 w 0.556 0.05529 -0.00184 -0.0184
29 2034 5908.95 w 0.901 0.14391 0.00324 -0.0398
29 2035 5908.97 w 0.980 0.27049 0.00273 -0.0781
29 2036 5908.99 w 0.981 0.36694 -0.00000 -0.1097
29 2037 5909.01 w 0.964 0.30749 -0.00302 -0.0950
29 2038 5909.03 w 0.887 0.16856 -0.00282 -0.0532
29 2039 5909.05 w 0.769 0.08075 -0.00381 -0.0280
29 2040 5909.07 w 0.371 0.02647 -0.00680 -0.0147
29 2041 5909.09 w 0.137 0.00915 -0.00438 -0.0071
29 2090 5910.12 w 0.073 0.00553 -0.00801 -0.0097
29 2091 5910.14 w 0.323 0.02705 -0.00983 -0.0179
29 2092 5910.16 w 0.779 0.08800 -0.00577 -0.0321
29 2093 5910.18 w 0.892 0.14689 -0.00606 -0.0500
29 2094 5910.20 w 0.884 0.14177 -0.00555 -0.0479
29 2095 5910.22 w 0.703 0.07796 -0.00816 -0.0315
29 2096 5910.24 w 0.606 0.05641 -0.00410 -0.0210
29 2097 5910.26 w 0.525 0.04179 -0.00492 -0.0174
29 2098 5910.28 w 0.391 0.02623 -0.00632 -0.0142
29 2099 5910.30 w 0.442 0.03668 -0.00232 -0.0133
29 2100 5910.33 w 0.637 0.04636 -0.00297 -0.0168
29 2101 5910.35 w 0.377 0.02671 -0.00369 -0.0117
29 2102 5910.37 w 0.178 0.01196 -0.00095 -0.0045
29 2105 5910.43 w 0.189 0.01111 -0.00067 -0.0040
29 2106 5910.45 w 0.303 0.02107 -0.00245 -0.0087
29 2107 5910.47 w 0.635 0.05105 0.00159 -0.0137
29 2108 5910.49 w 0.579 0.05653 0.00042 -0.0165
29 2109 5910.51 w 0.473 0.03947 0.00172 -0.0101
29 2110 5910.53 w 0.235 0.02243 -0.00144 -0.0081
29 2111 5910.55 w 0.256 0.02168 0.00034 -0.0061
29 2112 5910.58 w 0.337 0.02725 0.00037 -0.0078
29 2113 5910.60 w 0.517 0.04535 -0.00090 -0.0145
29 2114 5910.62 w 0.697 0.07155 -0.00164 -0.0230
29 2115 5910.64 w 0.826 0.10410 0.00321 -0.0279
29 2116 5910.66 w 0.834 0.09403 0.00307 -0.0250
29 2117 5910.68 w 0.737 0.07902 0.00299 -0.0206
29 2118 5910.70 w 0.795 0.09420 0.00342 -0.0247
29 2119 5910.72 w 0.892 0.14142 0.00275 -0.0395
29 2120 5910.74 w 0.964 0.22811 0.00034 -0.0679
29 2121 5910.76 w 0.973 0.27987 -0.00438 -0.0881
29 2122 5910.78 w 0.974 0.24191 -0.00026 -0.0726
29 2123 5910.80 w 0.890 0.13248 -0.00224 -0.0419
29 2124 5910.83 w 0.798 0.07598 0.00151 -0.0212
29 2125 5910.85 w 0.545 0.04276 0.00036 -0.0124
29 2126 5910.87 w 0.436 0.03575 0.00155 -0.0091
29 2127 5910.89 w 0.605 0.04223 0.00290 -0.0097
29 2128 5910.91 w 0.426 0.03263 -0.00177 -0.0115
29 2129 5910.93 w 0.214 0.01785 -0.00281 -0.0081
29 2171 5911.80 w 0.229 0.01726 0.00013 -0.0050
29 2172 5911.82 w 0.514 0.03319 0.00240 -0.0075
29 2173 5911.84 w 0.518 0.04175 -0.00072 -0.0132
29 2174 5911.87 w 0.546 0.05598 -0.00024 -0.0170
29 2175 5911.89 w 0.521 0.04240 -0.00471 -0.0174
29 2176 5911.91 w 0.521 0.03818 0.00053 -0.0109
29 2177 5911.93 w 0.210 0.01619 -0.00364 -0.0085
29 2178 5911.95 w 0.330 0.02841 -0.00134 -0.0098
29 2179 5911.97 w 0.443 0.04156 -0.00094 -0.0134
29 2180 5911.99 w 0.589 0.05821 -0.00132 -0.0187
29 2181 5912.01 w 0.720 0.07233 -0.00452 -0.0261
29 2182 5912.03 w 0.575 0.05936 -0.00449 -0.0222
29 2183 5912.05 w 0.200 0.01652 -0.00882 -0.0138
29 2209 5912.59 w 0.193 0.01687 -0.00405 -0.0091
29 2210 5912.61 w 0.284 0.01998 -0.00455 -0.0105
29 2211 5912.63 w 0.355 0.02541 -0.00361 -0.0112
29 2212 5912.65 w 0.518 0.03988 -0.00471 -0.0166
29 2213 5912.68 w 0.710 0.07119 -0.00600 -0.0273
29 2214 5912.70 w 0.789 0.09537 -0.00091 -0.0294
29 2215 5912.72 w 0.565 0.04930 -0.00806 -0.0228
29 2216 5912.74 w 0.142 0.01132 -0.00825 -0.0116
29 2223 5912.88 w 0.113 0.00787 -0.00424 -0.0066
29 2224 5912.90 w 0.358 0.03081 -0.00132 -0.0105
29 2225 5912.92 w 0.637 0.05803 0.00090 -0.0165
29 2226 5912.94 w 0.799 0.11284 0.00163 -0.0321
29 2227 5912.97 w 0.891 0.19955 -0.00252 -0.0622
29 2228 5912.99 w 0.925 0.26429 -0.00823 -0.0872
29 2229 5913.01 w 0.921 0.26441 -0.00436 -0.0834
29 2230 5913.03 w 0.859 0.15962 -0.00382 -0.0515
29 2231 5913.05 w 0.599 0.06798 -0.00481 -0.0251
29 2232 5913.07 w 0.484 0.03863 -0.00112 -0.0127
29 2233 5913.09 w 0.386 0.03319 0.00214 -0.0078
29 2234 5913.11 w 0.282 0.02143 0.00155 -0.0049
29 2235 5913.13 w 0.295 0.02204 0.00315 -0.0034
29 2236 5913.15 w 0.133 0.00955 -0.00068 -0.0035
29 2282 5914.11 w 0.022 0.00165 -0.00918 -0.0097
29 2283 5914.13 w 0.397 0.03151 -0.00680 -0.0162
29 2284 5914.15 w 0.579 0.05342 -0.01150 -0.0275
29 2285 5914.17 w 0.878 0.13111 -0.00780 -0.0470
29 2286 5914.19 w 0.942 0.20994 -0.00571 -0.0685
29 2287 5914.21 w 0.918 0.16898 -0.00885 -0.0594
29 2288 5914.23 w 0.715 0.07340 -0.01250 -0.0344
29 2289 5914.25 w 0.488 0.04439 -0.00441 -0.0177
29 2290 5914.27 w 0.101 0.00676 -0.00864 -0.0107
29 2317 5914.83 w 0.051 0.00361 -0.00587 -0.0069
29 2318 5914.85 w 0.309 0.02815 -0.00108 -0.0095
29 2319 5914.87 w 0.601 0.05592 -0.00097 -0.0177
29 2320 5914.89 w 0.785 0.09576 -0.00327 -0.0319
29 2321 5914.91 w 0.836 0.13347 -0.00724 -0.0471
29 2322 5914.93 w 0.910 0.16803 -0.00111 -0.0513
29 2323 5914.95 w 0.853 0.11510 -0.00520 -0.0396
29 2324 5914.97 w 0.682 0.06067 -0.00313 -0.0213
29 2325 5914.99 w 0.524 0.03522 -0.00192 -0.0125
29 2326 5915.02 w 0.228 0.01915 -0.00121 -0.0069
29 2342 5915.35 w 0.177 0.01253 -0.00743 -0.0112
29 2343 5915.37 w 0.513 0.04604 -0.00335 -0.0171
29 2344 5915.39 w 0.727 0.07647 -0.00661 -0.0295
29 2345 5915.41 w 0.890 0.15215 -0.00415 -0.0496
29 2346 5915.43 w 0.958 0.21276 -0.00214 -0.0658
29 2347 5915.45 w 0.928 0.17217 -0.00570 -0.0572
29 2348 5915.47 w 0.835 0.12238 0.00027 -0.0363
29 2349 5915.49 w 0.644 0.06224 -0.00295 -0.0216
29 2350 5915.51 w 0.397 0.03734 -0.00455 -0.0157
29 2351 5915.53 w 0.267 0.02622 -0.00329 -0.0111
29 2352 5915.55 w 0.522 0.04894 0.00138 -0.0133
29 2353 5915.57 w 0.492 0.04776 -0.00293 -0.0172
29 2354 5915.59 w 0.769 0.09660 -0.00285 -0.0317
29 2355 5915.61 w 0.932 0.16631 -0.00141 -0.0511
29 2356 5915.63 w 0.914 0.17445 -0.00605 -0.0582
29 2357 5915.66 w 0.868 0.12621 -0.00307 -0.0408
29 2358 5915.68 w 0.621 0.05685 -0.00511 -0.0221
29 2359 5915.70 w 0.172 0.01458 -0.00874 -0.0131
29 2373 5915.99 w 0.205 0.01732 -0.00620 -0.0114
29 2374 5916.01 w 0.546 0.05666 -0.00128 -0.0182
29 2375 5916.03 w 0.484 0.04702 -0.00569 -0.0197
29 2376 5916.05 w 0.437 0.04486 -0.00121 -0.0146
29 2377 5916.07 w 0.245 0.02238 -0.00235 -0.0090
29 2378 5916.09 w 0.134 0.00872 -0.00341 -0.0060
29 2399 5916.52 w 0.014 0.00109 -0.00476 -0.0051
29 2400 5916.54 w 0.254 0.02307 -0.00478 -0.0117
29 2401 5916.56 w 0.624 0.06623 -0.00157 -0.0214
29 2402 5916.58 w 0.720 0.08864 -0.00152 -0.0280
29 2403 5916.60 w 0.605 0.06571 -0.00236 -0.0220
29 2404 5916.62 w 0.522 0.04441 0.00184 -0.0114
29 2405 5916.65 w 0.264 0.02648 0.00221 -0.0057
29 2406 5916.67 w 0.184 0.01574 0.00367 -0.0010
29 2438 5917.32 w 0.205 0.01654 0.00103 -0.0039
29 2439 5917.35 w 0.446 0.04490 0.00158 -0.0118
29 2440 5917.37 w 0.688 0.08018 0.00173 -0.0222
29 2441 5917.39 w 0.731 0.09323 -0.00172 -0.0296
29 2442 5917.41 w 0.733 0.08658 0.00448 -0.0214
29 2443 5917.43 w 0.405 0.03553 0.00068 -0.0099
29 2444 5917.45 w 0.076 0.00766 -0.00206 -0.0044
29 2483 5918.25 w 0.188 0.01671 0.00221 -0.0028
29 2484 5918.27 w 0.327 0.02309 0.00534 -0.0016
29 2485 5918.29 w 0.251 0.02037 0.00119 -0.0049
29 2486 5918.31 w 0.484 0.04028 0.00080 -0.0112
29 2487 5918.33 w 0.723 0.08681 0.00299 -0.0230
29 2488 5918.35 w 0.878 0.15837 0.00283 -0.0445
29 2489 5918.37 w 0.953 0.26627 -0.00058 -0.0802
29 2490 5918.39 w 0.961 0.38234 -0.00115 -0.1155
29 2491 5918.41 w 0.963 0.37853 -0.00800 -0.1212
29 2492 5918.44 w 0.972 0.35089 -0.00703 -0.1119
29 2493 5918.46 w 0.972 0.28629 -0.00980 -0.0954
29 2494 5918.48 w 0.928 0.20548 -0.00598 -0.0674
29 2495 5918.50 w 0.808 0.10760 -0.00542 -0.0376
29 2496 5918.52 w 0.613 0.04999 -0.00536 -0.0203
29 2497 5918.54 w 0.190 0.01606 -0.00532 -0.0101
29 2514 5918.89 w 0.179 0.01531 -0.00069 -0.0053
29 2515 5918.91 w 0.435 0.03868 0.00005 -0.0115
29 2516 5918.93 w 0.619 0.07696 0.00024 -0.0228
29 2517 5918.95 w 0.824 0.12238 -0.00046 -0.0370
29 2518 5918.97 w 0.860 0.15712 -0.00010 -0.0471
29 2519 5918.99 w 0.929 0.20118 0.00341 -0.0567
29 2520 5919.01 w 0.967 0.30497 0.00457 -0.0866
29 2521 5919.03 w 0.984 0.47525 -0.00113 -0.1432
29 2522 5919.05 w 0.985 0.58385 -0.00308 -0.1776
29 2523 5919.07 w 0.973 0.47958 -0.00493 -0.1483
